title,url,author,year,price
Breath: The New Science of a Lost Art,https://www.amazon.co.uk/Breath-New-Science-Lost-Art/dp/0241289122/ref=sr_1_41?qid=1683454609&s=books&sr=1-41,James Nestor,8 Jul 2021,£9.99
The Subtle Art of Not Giving a F*ck: A Counterintuitive Approach to Living a Good Life,https://www.amazon.co.uk/Subtle-Art-Not-Giving-Counterintuitive/dp/B01M9JOAFI/ref=sr_1_42?qid=1683454609&s=books&sr=1-42,Part of: The Subtle Art of Not Giving a F*ck (2 books) ,Unknown,£0.00
"The Daily Stoic: 366 Meditations on Wisdom, Perseverance, and the Art of Living: Featuring new translations of Seneca, Epictetus, and Marcus Aurelius",https://www.amazon.co.uk/Daily-Stoic-Meditations-Perseverance-translations/dp/1781257655/ref=sr_1_43?qid=1683454609&s=books&sr=1-43,Ryan Holiday,27 Oct 2016,£13.99
The 7 Habits Of Highly Effective People: Revised and Updated: 30th Anniversary Edition,https://www.amazon.co.uk/Habits-Highly-Effective-People-Anniversary/dp/1471195201/ref=sr_1_44?qid=1683454609&s=books&sr=1-44,Stephen R. Covey,19 May 2020,£8.99
The 1 Minute Gratitude Journal For Everyone: With Daily Gratitude Quotes On Each Page.,https://www.amazon.co.uk/sspa/click?ie=UTF8&spc=MToyMTc4MTUwNDE0MDgyMTA3OjE2ODM0NTQ2MDk6c3BfbXRmX2Jyb3dzZToyMDE1MDUxNDIxNDc5ODo6MDo6&url=%2FMinute-Gratitude-Journal-Everyone-Quotes%2Fdp%2FB0C2SDCQ26%2Fref%3Dsr_1_45_sspa%3Fqid%3D1683454609%26s%3Dbooks%26sr%3D1-45-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9tdGZfYnJvd3Nl%26psc%3D1,Jamie Stevenson,18 Apr 2023,£10.99
"Thinking, Fast and Slow: Daniel Kahneman",https://www.amazon.co.uk/Thinking-Fast-Slow-Daniel-Kahneman/dp/0141033576/ref=sr_1_46?qid=1683454609&s=books&sr=1-46,Daniel Kahneman,10 May 2012,£4.99
Think And Grow Rich,https://www.amazon.co.uk/Think-Grow-Rich-Napoleon-Hill/dp/0091900212/ref=sr_1_47?qid=1683454609&s=books&sr=1-47,Napoleon Hill,7 Oct 2004,£10.99
101 Essays That Will Change The Way You Think,https://www.amazon.co.uk/Essays-That-Will-Change-Think/dp/1945796065/ref=sr_1_48?qid=1683454609&s=books&sr=1-48,Brianna Wiest,7 Nov 2018,£7.50
The Secret,https://www.amazon.co.uk/Secret-Rhonda-Byrne/dp/1847370292/ref=sr_1_49?qid=1683454609&s=books&sr=1-49,Book 1 of 6: The Secret ,4 Dec 2006,£7.99
"Emotional Self-Care for Black Women: Proven Ways to Build Self-Compassion, Boost Self-Esteem and Transform Self-Sabotage Into Self-Improvement",https://www.amazon.co.uk/sspa/click?ie=UTF8&spc=MToyMTc4MTUwNDE0MDgyMTA3OjE2ODM0NTQ2MDk6c3BfbXRmX2Jyb3dzZToyMDExOTA5MDk4ODQ5ODo6MDo6&url=%2FEmotional-Self-Care-Black-Women-Self-Improvement%2Fdp%2FB0BSJ9DVFN%2Fref%3Dsr_1_50_sspa%3Fqid%3D1683454609%26s%3Dbooks%26sr%3D1-50-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9tdGZfYnJvd3Nl%26psc%3D1,Ada Adisa,18 Jan 2023,£3.49
"It Ends With Us: The emotional #1 Sunday Times bestseller (Lily & Atlas, 1)",https://www.amazon.co.uk/Ends-Us-Colleen-Hoover/dp/1471156265/ref=sr_1_51?qid=1683454609&s=books&sr=1-51,Book 1 of 2: It Ends with Us ,2 Aug 2016,£7.99
THE ALCHEMIST: The international bestseller,https://www.amazon.co.uk/Alchemist-Fable-About-Following-Dream/dp/0722532938/ref=sr_1_52?qid=1683454609&s=books&sr=1-52,Paulo Coelho,8 Mar 2012,£0.00
"Choose Joy: Relieve Burnout, Focus on Your Happiness, and Infuse More Joy into Your Everyday Life",https://www.amazon.co.uk/sspa/click?ie=UTF8&spc=MTo1NDE4NTA1MDUzNTgxMjE2OjE2ODM0NTQ2MTE6c3BfYXRmX2Jyb3dzZToyMDE0Mjc5MDg2MTY5ODo6MDo6&url=%2FChoose-Joy-Relieve-Happiness-Everyday%2Fdp%2F1950968774%2Fref%3Dsr_1_50_sspa%3Fqid%3D1683454611%26s%3Dbooks%26sr%3D1-50-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGZfYnJvd3Nl%26psc%3D1,Sophie Cliff,15 Nov 2022,£13.85
How To Do The Work: The Sunday Times Bestseller,https://www.amazon.co.uk/How-Do-Work-Recognise-Patterns/dp/1409197743/ref=sr_1_51?qid=1683454611&s=books&sr=1-51,Nicole LePera,11 Mar 2021,£17.99
The official DVSA guide to driving: the essential skills,https://www.amazon.co.uk/official-DVSA-guide-driving-essential/dp/0115541047/ref=sr_1_52?qid=1683454611&s=books&sr=1-52,Driver and Vehicle Standards Agency,28 Oct 2022,£13.20
Good Girls: A story and study of anorexia,https://www.amazon.co.uk/Good-Girls-story-study-anorexia/dp/0008322678/ref=sr_1_53?qid=1683454611&s=books&sr=1-53,Hadley Freeman,13 Apr 2023,£16.99
Shuggie Bain: Winner of the Booker Prize,https://www.amazon.co.uk/Shuggie-Bain-Winner-Booker-Prize/dp/152901929X/ref=sr_1_54?qid=1683454611&s=books&sr=1-54,Douglas Stuart,15 Apr 2021,£0.00
Inner Alignment Soul Retrieval for Childhood Trauma: a six-layered approach to address the root cause of anxiety and depression,https://www.amazon.co.uk/sspa/click?ie=UTF8&spc=MTo1NDE4NTA1MDUzNTgxMjE2OjE2ODM0NTQ2MTE6c3BfbXRmX2Jyb3dzZToyMDEwNzM1NTk1MDQ5ODo6MDo6&url=%2FAlignment-Retrieval-Healing-Childhood-Trauma-ebook%2Fdp%2FB09JV8QBXX%2Fref%3Dsr_1_55_sspa%3Fqid%3D1683454611%26s%3Dbooks%26sr%3D1-55-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9tdGZfYnJvd3Nl%26psc%3D1,Kimberly Beekman,18 Oct 2021,£21.99
"Dopamine Detox: Reduce Instant Gratification, Beat Social Media Addiction, and Stop Wasting Your Life",https://www.amazon.co.uk/sspa/click?ie=UTF8&spc=MTo1NDE4NTA1MDUzNTgxMjE2OjE2ODM0NTQ2MTE6c3BfbXRmX2Jyb3dzZToyMDE0NTk1NjA1MjE5ODo6MDo6&url=%2FDopamine-Detox-Instant-Gratification-Addiction%2Fdp%2FB0BZBPNQD7%2Fref%3Dsr_1_56_sspa%3Fqid%3D1683454611%26s%3Dbooks%26sr%3D1-56-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9tdGZfYnJvd3Nl%26psc%3D1,Josh Snider,22 Mar 2023,£7.99
Four Thousand Weeks: Embrace your limits. Change your life. Make your four thousand weeks count.,https://www.amazon.co.uk/Four-Thousand-Weeks-Embrace-Limits/dp/B09233TW54/ref=sr_1_57?qid=1683454611&s=books&sr=1-57,Oliver Burkeman,Unknown,£16.99
"The Modern Midwife's Guide to Pregnancy, Birth and Beyond: How to Have a Healthier Pregnancy, Easier Birth and Smoother Postnatal Period",https://www.amazon.co.uk/Modern-Midwifes-Guide-Pregnancy-Beyond/dp/1785042963/ref=sr_1_58?qid=1683454611&s=books&sr=1-58,Marie Louise,5 Mar 2020,£14.95
The Half of It: A Memoir,https://www.amazon.co.uk/Untitled-Nonfiction-Anon9780063237698/dp/0063237695/ref=sr_1_59?qid=1683454611&s=books&sr=1-59,Madison Beer,25 Apr 2023,£16.99
Clean & Green: 101 Hints and Tips for a More Eco-Friendly Home,https://www.amazon.co.uk/Clean-Green-Hints-Tips-Eco-Friendly/dp/1529049725/ref=sr_1_60?qid=1683454611&s=books&sr=1-60,Nancy Birtwhistle,21 Jan 2021,£13.41
"The Self-Help Bible: All the Answers for a Happier, Healthier Life",https://www.amazon.co.uk/sspa/click?ie=UTF8&spc=MTo1NDE4NTA1MDUzNTgxMjE2OjE2ODM0NTQ2MTE6c3BfbXRmX2Jyb3dzZToyMDExODAwNTg0MDc5ODo6MDo6&url=%2FSelf-Help-Bible-Answers-Happier-Healthier%2Fdp%2FB0BD2H2KKD%2Fref%3Dsr_1_61_sspa%3Fqid%3D1683454611%26s%3Dbooks%26sr%3D1-61-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9tdGZfYnJvd3Nl%26psc%3D1,George Mahood,6 Sept 2022,£16.99
The Mind Manual: THE NEW BOOK FROM THE SUNDAY TIMES BESTSELLER: Mental Fitness Tools for Everyone (Dr Alex George),https://www.amazon.co.uk/MIND-MANUAL-DR-ALEX-GEORGE/dp/1783254904/ref=sr_1_62?qid=1683454611&s=books&sr=1-62,Dr Alex George,11 May 2023,£9.99
"The Greatest Self-Help Book (is the one written by you): A Daily Journal for Gratitude, Happiness, Reflection and Self-Love",https://www.amazon.co.uk/Greatest-Self-Help-Book-one-written/dp/1035005182/ref=sr_1_63?qid=1683454611&s=books&sr=1-63,Vex King,8 Dec 2022,£16.99
"Win Every Argument: The Art of Debating, Persuading and Public Speaking",https://www.amazon.co.uk/Win-Every-Argument-Debating-Persuading-ebook/dp/B09YRN6RXX/ref=sr_1_64?qid=1683454611&s=books&sr=1-64,Mehdi Hasan,28 Feb 2023,£0.00
Here We Are: The phenomenal international bestseller from Oliver Jeffers – with incredible illustrations – the perfect gift for families and children,https://www.amazon.co.uk/Here-We-Are-Living-Planet/dp/0008266174/ref=sr_1_65?qid=1683454611&s=books&sr=1-65,Oliver Jeffers,2 Feb 2023,£13.99
"The Greatest Self-Help Book (is the one written by you): A Daily Journal for Gratitude, Happiness, Reflection and Self-Love",https://www.amazon.co.uk/sspa/click?ie=UTF8&spc=MTo1NDE4NTA1MDUzNTgxMjE2OjE2ODM0NTQ2MTE6c3BfbXRmX2Jyb3dzZToyMDA5NDMzNTA0MDE5ODo6MDo6&url=%2FGreatest-Self-Help-Book-one-written%2Fdp%2F1035005182%2Fref%3Dsr_1_66_sspa%3Fqid%3D1683454611%26s%3Dbooks%26sr%3D1-66-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9tdGZfYnJvd3Nl%26psc%3D1,Vex King,8 Dec 2022,£3.82
Me vs Brain: An Overthinker’s Guide to Life – the instant Sunday Times bestseller!,https://www.amazon.co.uk/Me-Brain-Overthinkers-Guide-Life/dp/1529196043/ref=sr_1_67?qid=1683454611&s=books&sr=1-67,Hayley Morris,16 Feb 2023,£9.99
It Didn't Start With You: How inherited family trauma shapes who we are and how to end the cycle,https://www.amazon.co.uk/Didnt-Start-You-inherited-family-ebook/dp/B0B17NPBMW/ref=sr_1_68?qid=1683454611&s=books&sr=1-68,Mark  Wolynn,30 Jun 2022,£5.99
"Choose Joy: Relieve Burnout, Focus on Your Happiness, and Infuse More Joy into Your Everyday Life",https://www.amazon.co.uk/sspa/click?ie=UTF8&spc=MTo0ODA3NjA5MzM5NjQwNTA6MTY4MzQ1NDYxMzpzcF9hdGZfYnJvd3NlOjIwMTQyNzkwODYxNjk4OjowOjo&url=%2FChoose-Joy-Relieve-Happiness-Everyday%2Fdp%2F1950968774%2Fref%3Dsr_1_66_sspa%3Fqid%3D1683454613%26s%3Dbooks%26sr%3D1-66-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGZfYnJvd3Nl%26psc%3D1,Sophie Cliff,15 Nov 2022,£13.85
Closer to Love: How to Attract the Right Relationships and Deepen Your Connections,https://www.amazon.co.uk/Closer-Love-Attract-Relationships-Connections/dp/1529087848/ref=sr_1_67?qid=1683454613&s=books&sr=1-67,Vex King,13 Feb 2023,£17.99
Stolen Focus: Why You Can't Pay Attention,https://www.amazon.co.uk/Stolen-Focus-Why-Cant-Attention/dp/B09NCD7B9X/ref=sr_1_68?qid=1683454613&s=books&sr=1-68,Johann Hari,Unknown,£11.99
Bad Influence: Reflections on a life lived online,https://www.amazon.co.uk/Bad-Influence-Reflections-lived-online/dp/1529423899/ref=sr_1_69?qid=1683454613&s=books&sr=1-69,Oenone Forbat,31 Aug 2023,£16.99
The Artist's Way: A Spiritual Path to Higher Creativity,https://www.amazon.co.uk/Artists-Way-Spiritual-Higher-Creativity/dp/1788164296/ref=sr_1_70?qid=1683454613&s=books&sr=1-70,Julia Cameron,5 Nov 2020,£0.00
Inner Alignment Soul Retrieval for Childhood Trauma: a six-layered approach to address the root cause of anxiety and depression,https://www.amazon.co.uk/sspa/click?ie=UTF8&spc=MTo0ODA3NjA5MzM5NjQwNTA6MTY4MzQ1NDYxMzpzcF9tdGZfYnJvd3NlOjIwMTA3MzU1OTUwNDk4OjowOjo&url=%2FAlignment-Retrieval-Healing-Childhood-Trauma-ebook%2Fdp%2FB09JV8QBXX%2Fref%3Dsr_1_71_sspa%3Fqid%3D1683454613%26s%3Dbooks%26sr%3D1-71-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9tdGZfYnJvd3Nl%26psc%3D1,Kimberly Beekman,18 Oct 2021,£14.99
"Dopamine Detox: Reduce Instant Gratification, Beat Social Media Addiction, and Stop Wasting Your Life",https://www.amazon.co.uk/sspa/click?ie=UTF8&spc=MTo0ODA3NjA5MzM5NjQwNTA6MTY4MzQ1NDYxMzpzcF9tdGZfYnJvd3NlOjIwMTQ1OTU2MDUyMTk4OjowOjo&url=%2FDopamine-Detox-Instant-Gratification-Addiction%2Fdp%2FB0BZBPNQD7%2Fref%3Dsr_1_72_sspa%3Fqid%3D1683454613%26s%3Dbooks%26sr%3D1-72-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9tdGZfYnJvd3Nl%26psc%3D1,Josh Snider,22 Mar 2023,£8.99
"Adult Children of Emotionally Immature Parents: How to Heal from Distant, Rejecting: How to Heal from Distant, Rejecting, or Self-Involved Parents",https://www.amazon.co.uk/Adult-Children-Emotionally-Immature-Parents/dp/1626251703/ref=sr_1_73?qid=1683454613&s=books&sr=1-73,Lindsay C. Gibson,25 Jun 2015,£16.99
When the Body Says No: The Cost of Hidden Stress,https://www.amazon.co.uk/When-Body-Says-No-Hidden/dp/B08PHV3D5D/ref=sr_1_74?qid=1683454613&s=books&sr=1-74,Gabor Maté,Unknown,£0.00
Intelligent Investor: The Definitive Book on Value Investing - A Book of Practical Counsel: xiv,https://www.amazon.co.uk/Intelligent-Investor-Definitive-Investing-Practical/dp/0060555661/ref=sr_1_75?qid=1683454613&s=books&sr=1-75,Benjamin Graham,23 Oct 2003,£31.99
Never Finished: Unshackle Your Mind and Win the War Within,https://www.amazon.co.uk/Never-Finished-Unshackle-Your-Within/dp/B0BJ35H3L4/ref=sr_1_76?qid=1683454613&s=books&sr=1-76,David Goggins,Unknown,£7.99
"Emotional Self-Care for Black Women: Proven Ways to Build Self-Compassion, Boost Self-Esteem and Transform Self-Sabotage Into Self-Improvement",https://www.amazon.co.uk/sspa/click?ie=UTF8&spc=MTo0ODA3NjA5MzM5NjQwNTA6MTY4MzQ1NDYxMzpzcF9tdGZfYnJvd3NlOjIwMTE5MDkwOTg4NDk4OjowOjo&url=%2FEmotional-Self-Care-Black-Women-Self-Improvement%2Fdp%2FB0BSJ9DVFN%2Fref%3Dsr_1_77_sspa%3Fqid%3D1683454613%26s%3Dbooks%26sr%3D1-77-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9tdGZfYnJvd3Nl%26psc%3D1,Ada Adisa,18 Jan 2023,£10.99
I’m Not as Well as I Thought I Was: From the Number One Bestselling Author of A Mindfulness Guide for The Frazzled,https://www.amazon.co.uk/Im-Not-Well-Thought-Was/dp/0241554896/ref=sr_1_78?qid=1683454613&s=books&sr=1-78,Ruby Wax,11 May 2023,£5.89
The Power of Discipline: How to Use Self Control and Mental Toughness to Achieve Your Goals,https://www.amazon.co.uk/Power-Discipline-Control-Toughness-Achieve/dp/B086PRLDCB/ref=sr_1_79?qid=1683454613&s=books&sr=1-79,Daniel Walter,8 Apr 2020,£10.99
A Path through the Jungle (A Psychological Health and Wellbeing Programme to Develop Robustness and Resilience),https://www.amazon.co.uk/Path-through-Jungle-Psychological-bestselling/dp/1998991105/ref=sr_1_80?qid=1683454613&s=books&sr=1-80,Professor Steve Peters,19 Oct 2021,£14.95
Be Useful: Seven tools for life,https://www.amazon.co.uk/Be-Useful-Seven-tools-life/dp/1529146534/ref=sr_1_81?qid=1683454613&s=books&sr=1-81,Arnold Schwarzenegger,10 Oct 2023,£16.99
The 1 Minute Gratitude Journal For Everyone: With Daily Gratitude Quotes On Each Page.,https://www.amazon.co.uk/sspa/click?ie=UTF8&spc=MTo0ODA3NjA5MzM5NjQwNTA6MTY4MzQ1NDYxMzpzcF9tdGZfYnJvd3NlOjIwMTUwNTE0MjE0Nzk4OjowOjo&url=%2FMinute-Gratitude-Journal-Everyone-Quotes%2Fdp%2FB0C2SDCQ26%2Fref%3Dsr_1_82_sspa%3Fqid%3D1683454613%26s%3Dbooks%26sr%3D1-82-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9tdGZfYnJvd3Nl%26psc%3D1,Jamie Stevenson,18 Apr 2023,£9.99
Inspirational Coloring Book for Adults: 50 Motivational Quotes & Patterns to Color - A Variety of Relaxing Positive Affirmations for Adults & Teens,https://www.amazon.co.uk/Inspirational-Coloring-Book-Adults-Motivational/dp/B0BTGSJYHC/ref=sr_1_83?qid=1683454613&s=books&sr=1-83,PEPPER LOMAX,30 Jan 2023,£16.99
"The Salt Path: The 85-Week Sunday Times Bestseller from the Million-Copy Bestselling Author (Raynor Winn, 1)",https://www.amazon.co.uk/Salt-Path-bestseller-shortlisted-Wainwright/dp/1405937181/ref=sr_1_84?qid=1683454613&s=books&sr=1-84,Raynor Winn,31 Jan 2019,£14.09
